id_alumne,id_professor,dia,franja,materia,grup_curs,tipus_falta,comentari
126,450,2014-10-06,12:50:00-13:45:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Absència,
126,450,2014-10-06,13:45:00-14:45:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Absència,
59,440,2014-10-06,09:15:00-10:15:00,(LC2)Llengua catalana i literatura,(ESO LOE 2 B) 2 ESO B,Absència,
123,450,2014-10-07,10:40:00-11:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
125,450,2014-10-07,10:40:00-11:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
122,450,2014-10-07,10:40:00-11:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
126,450,2014-10-07,10:40:00-11:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
61,450,2014-10-07,10:40:00-11:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
127,450,2014-10-07,10:40:00-11:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
278,450,2014-10-07,11:35:00-12:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
123,450,2014-10-07,11:35:00-12:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
125,450,2014-10-07,11:35:00-12:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
61,450,2014-10-07,11:35:00-12:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
126,450,2014-10-07,11:35:00-12:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
122,450,2014-10-07,11:35:00-12:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
127,450,2014-10-07,11:35:00-12:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
278,450,2014-10-07,12:50:00-13:45:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Justificada,
123,450,2014-10-07,12:50:00-13:45:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Justificada,
125,450,2014-10-07,12:50:00-13:45:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Justificada,
122,450,2014-10-07,12:50:00-13:45:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Justificada,
